source_as,target_as,path_length
5400-DE-HE,7922-US-MD,1
209-US-AZ,3356-US-,1
20940-HK-,4134-CN-,1
7018-US-TX,174-US-NY,1
6830-PL-14,3320-DE-NW,1
7922-US-CA,1239-US-VA,1
4134-CN-,3257-US-NY,1
4230-BR-RJ,701-US-VA,1
3292-DK-84,701-US-VA,1
2516-JP-,4766-KR-,1
4766-KR-41,4837-CN-SD,1
4766-KR-41,20940-JP-27,1
17676-JP-14,3462-TW-TXG,1
701-US-MD,16509-US-,1
7922-US-TX,174-US-NY,1
701-US-MD,7922-US-MD,1
7922-US-IL,3320-DE-HE,1
701-US-PA,4134-CN-GD,1
31898-GB-ENG,3320-DE-HE,1
3320-DE-NW,7018-US-CA,1
3356-US-,45899-VN-SG,1
7922-US-IL,852-CA-BC,1
4837-CN-SD,6453-GB-,1
3356-US-,7713-ID-JB,1
5650-US-TX,174-US-NY,1
2516-JP-,3356-US-TX,1
6805-DE-HH,4134-CN-,1
20940-US-CA,209-US-UT,1
11492-US-AZ,3356-US-CA,1
1221-AU-VIC,20940-US-TX,1
20940-US-CA,4804-AU-QLD,1
4134-CN-,6830-PL-14,1
12322-FR-IDF,1103-NL-,1
6830-PL-14,4766-KR-,1
8075-IN-MH,553-DE-BW,1
3320-DE-BW,20940-SG-,1
3303-CH-VD,3356-US-CA,1
3320-DE-HE,7922-US-TX,1
3356-US-,22834-US-MA,1
174-US-CA,3320-DE-BW,1
1257-SE-M,3320-DE-NW,1
8551-IL-M,3356-US-TX,1
7922-US-CO,4134-CN-,1
174-GB-ENG,7018-US-CA,1
3303-CH-ZH,4837-CN-,1
4766-KR-,701-US-MD,1
2497-JP-13,16509-US-,1
4134-CN-,140292-CN-,1
55707-AU-,174-US-CA,1
701-US-PA,4766-KR-,1
2119-NO-38,4837-CN-SD,1
7713-ID-JB,701-US-NJ,1
701-US-MD,6830-PL-14,1
3462-TW-TXG,4766-KR-,1
7922-US-TX,5400-NL-NH,1
4847-CN-,4134-CN-GD,1
3356-US-TX,57878-GB-ENG,1
3320-DE-NW,15557-FR-NAQ,1
1136-NL-ZH,2514-JP-13,2
4134-CN-GD,2134-ES-MD,2
4808-CN-BJ,7018-US-,2
7922-US-MD,29467-LU-,2
4134-CN-GD,1239-US-VA,2
7922-US-IL,2527-JP-14,2
8151-MX-MEX,3320-DE-BW,2
13999-MX-PUE,7922-US-IN,2
7018-US-CA,15557-FR-PAC,2
36925-MA-06,12389-RU-SPE,2
3320-DE-BY,9198-KZ-71,2
5603-SI-070,4837-CN-,2
45899-VN-HN,7922-US-WA,2
