source_as,target_as,path_length,emissions,path
52106-PL-10,48021-PL-14,2,1835.13,52106-PL-10 -> 5617-PL-02 -> 48021-PL-14
196819-DE-BY,31287-BG-,2,477.88,196819-DE-BY -> 1299-SE- -> 31287-BG-
13293-PL-10,8487-FR-,2,635.01,13293-PL-10 -> 1299-SE- -> 8487-FR-
47583-NL-DR,207398-FR-,2,137.53,47583-NL-DR -> 1299-SE- -> 207398-FR-
29624-DE-,200576-DE-NI,2,631.83,29624-DE- -> 3320-DE-BW -> 200576-DE-NI
43623-DE-,42249-DE-NW,2,631.83,43623-DE- -> 3320-DE-BW -> 42249-DE-NW
28854-SE-F,43809-SE-D,2,4.23,28854-SE-F -> 1257-SE-AB -> 43809-SE-D
201737-PL-10,206685-PL-06,2,1835.13,201737-PL-10 -> 5617-PL-02 -> 206685-PL-06
2792-DE-,12460-DE-NI,2,631.83,2792-DE- -> 3320-DE-BW -> 12460-DE-NI
49362-DK-,47869-NL-NH,2,142.1,49362-DK- -> 1299-SE- -> 47869-NL-NH
51879-PL-10,41455-PL-04,2,1835.13,51879-PL-10 -> 5617-PL-02 -> 41455-PL-04
3215-FR-ARA,12479-ES-MD,2,157.44,3215-FR-ARA -> 5511-FR- -> 12479-ES-MD
28876-DE-BY,8437-AT-4,2,529.5600000000001,28876-DE-BY -> 3320-DE-BW -> 8437-AT-4
3223-RO-,20773-DE-HE,2,480.42,3223-RO- -> 1299-SE- -> 20773-DE-HE
35227-DE-,34309-DE-,2,631.83,35227-DE- -> 3320-DE-BW -> 34309-DE-
28788-NL-,13135-DE-,2,326.25,28788-NL- -> 1299-SE- -> 13135-DE-
10158-SE-,42929-FR-,2,45.19,10158-SE- -> 4455-FR- -> 42929-FR-
3214-NL-NH,44133-AT-,2,330.91,3214-NL-NH -> 1764-AT- -> 44133-AT-
208482-FR-IDF,61086-FR-,2,65.67,208482-FR-IDF -> 3215-FR- -> 61086-FR-
29301-FR-IDF,39636-IT-21,2,299.77,29301-FR-IDF -> 4455-FR- -> 39636-IT-21
3249-EE-37,201568-HU-BU,2,215.05,3249-EE-37 -> 1299-SE- -> 201568-HU-BU
42390-SE-AB,39771-FR-ARA,2,24.71,42390-SE-AB -> 1299-SE- -> 39771-FR-ARA
203148-BE-,15435-NL-OV,2,220.79,203148-BE- -> 1299-SE- -> 15435-NL-OV
48546-LV-047,44105-LV-,2,405.24,48546-LV-047 -> 2588-LV- -> 44105-LV-
209996-SI-103,57532-SI-175,2,624.6899999999999,209996-SI-103 -> 5603-SI-061 -> 57532-SI-175
42605-DE-HE,60063-DE-NI,2,631.83,42605-DE-HE -> 3320-DE-BW -> 60063-DE-NI
12762-AT-8,41915-AT-,2,325.02,12762-AT-8 -> 1853-AT-1 -> 41915-AT-
44239-AT-,44134-DK-84,2,136.21,44239-AT- -> 1299-SE- -> 44134-DK-84
198651-LT-,25152-DE-,2,432.44,198651-LT- -> 1103-NL- -> 25152-DE-
61189-EE-,14061-DE-HE,2,281.55,61189-EE- -> 3327-EE-37 -> 14061-DE-HE
15912-SE-,205180-SE-,2,4.23,15912-SE- -> 1257-SE-AB -> 205180-SE-
198531-DK-82,201078-DK-82,2,79.38,198531-DK-82 -> 3292-DK-82 -> 201078-DK-82
29396-NL-ZH,13280-IE-,2,551.78,29396-NL-ZH -> 4455-FR- -> 13280-IE-
57913-IT-52,34516-GR-,3,1173.7,57913-IT-52 -> 5398-IT-25 -> 1241-GR-B -> 34516-GR-
197662-FR-,45002-SI-038,3,460.24,197662-FR- -> 4455-FR- -> 5603-SI-061 -> 45002-SI-038
44760-AT-,24940-DE-HE,3,428.7000000000001,44760-AT- -> 1764-AT- -> 1299-SE- -> 24940-DE-HE
197662-FR-,42757-SI-061,3,460.24,197662-FR- -> 4455-FR- -> 5603-SI-061 -> 42757-SI-061
8878-DE-,31078-DE-,3,530.97,8878-DE- -> 1299-SE- -> 5405-AT-9 -> 31078-DE-
31313-RO-,210595-FR-,3,313.59,31313-RO- -> 5511-FR- -> 1299-SE- -> 210595-FR-
8723-FR-OCC,29551-DE-NW,3,255.8,8723-FR-OCC -> 5511-FR- -> 1299-SE- -> 29551-DE-NW
199271-DE-,42873-DE-BW,3,842.44,199271-DE- -> 3320-DE-BW -> 553-DE-BW -> 42873-DE-BW
57030-DK-83,199801-DE-BW,3,264.94,57030-DK-83 -> 3292-DK-82 -> 1299-SE- -> 199801-DE-BW
2593-IT-,51512-PT-11,3,569.92,2593-IT- -> 4455-FR- -> 2860-PT-11 -> 51512-PT-11
206597-DE-,211884-SI-140,3,837.6800000000001,206597-DE- -> 3320-DE-BW -> 5603-SI-061 -> 211884-SI-140
51681-ES-VC,50824-DE-HE,3,556.77,51681-ES-VC -> 4455-FR- -> 3209-DE-BW -> 50824-DE-HE
29145-DE-,21000-FR-,3,465.0,29145-DE- -> 3320-DE-BW -> 5400-FR-IDF -> 21000-FR-
196956-IT-52,3292-DK-84,3,539.85,196956-IT-52 -> 1267-IT- -> 1299-SE- -> 3292-DK-84
14012-SE-,59780-DE-,3,321.77,14012-SE- -> 1299-SE- -> 5405-AT-9 -> 59780-DE-
34670-DK-,39328-ES-NC,3,188.47,34670-DK- -> 3292-DK-82 -> 4455-FR- -> 39328-ES-NC
42000-CZ-52,216313-DK-,3,518.11,42000-CZ-52 -> 1299-SE- -> 3342-DK- -> 216313-DK-
39180-FR-,198115-PL-14,3,1246.72,39180-FR- -> 1299-SE- -> 5617-PL-02 -> 198115-PL-14
58074-RO-,59750-SE-,3,539.6199999999999,58074-RO- -> 5606-RO- -> 3399-SE-AB -> 59750-SE-
1267-IT-34,200060-SE-AB,3,260.2200000000001,1267-IT-34 -> 1299-SE- -> 3301-SE-AB -> 200060-SE-AB
199378-PL-26,57344-BG-,3,1490.69,199378-PL-26 -> 5617-PL-02 -> 1299-SE- -> 57344-BG-
12778-SI-061,205046-DE-BW,3,630.86,12778-SI-061 -> 1299-SE- -> 680-DE- -> 205046-DE-BW
211083-DE-,1133-NL-OV,3,553.3000000000001,211083-DE- -> 3214-NL-NH -> 1103-NL- -> 1133-NL-OV
47215-DE-,204028-DE-,3,633.24,47215-DE- -> 1299-SE- -> 3209-DE-BW -> 204028-DE-
48152-DE-HE,51560-AT-,3,428.7000000000001,48152-DE-HE -> 1299-SE- -> 1764-AT- -> 51560-AT-
29094-IT-36,62094-SE-,3,514.8,29094-IT-36 -> 1267-IT- -> 1299-SE- -> 62094-SE-
35752-PL-,5430-DE-,3,1435.44,35752-PL- -> 5617-PL-02 -> 1299-SE- -> 5430-DE-
197942-SE-,199541-BE-,3,129.86,197942-SE- -> 1257-SE-AB -> 5400-FR-IDF -> 199541-BE-
43930-FR-,49468-RO-,3,313.59,43930-FR- -> 5511-FR- -> 1299-SE- -> 49468-RO-
34311-NL-NH,29468-SE-O,3,138.94,34311-NL-NH -> 5400-FR-IDF -> 1257-SE-AB -> 29468-SE-O
31165-PL-14,16189-FR-IDF,3,1267.2000000000005,31165-PL-14 -> 5617-PL-02 -> 5511-FR- -> 16189-FR-IDF
28984-SI-011,48918-DE-BW,3,837.68,28984-SI-011 -> 5603-SI-061 -> 3320-DE-BW -> 48918-DE-BW
57773-SE-AB,48022-PL-,3,1226.2400000000002,57773-SE-AB -> 1299-SE- -> 5617-PL-02 -> 48022-PL-
57317-DE-,30942-HU-,3,777.56,57317-DE- -> 3320-DE-BW -> 5483-HU-BU -> 30942-HU-
64488-SK-,8447-AT-9,3,548.4100000000001,64488-SK- -> 5578-SK- -> 1299-SE- -> 8447-AT-9
5610-CZ-10,59543-BE-BRU,3,684.5699999999999,5610-CZ-10 -> 1299-SE- -> 2686-NL- -> 59543-BE-BRU
197353-CZ-,57337-ES-MD,3,1042.63,197353-CZ- -> 5610-CZ-10 -> 1299-SE- -> 57337-ES-MD
58010-DE-,12935-SE-AB,3,424.0400000000001,58010-DE- -> 3320-DE-BW -> 1257-SE-AB -> 12935-SE-AB
196763-DE-,49215-IT-34,3,836.82,196763-DE- -> 3223-NL-NH -> 1267-IT- -> 49215-IT-34
202217-DE-NW,56993-SI-123,3,837.6800000000001,202217-DE-NW -> 3320-DE-BW -> 5603-SI-061 -> 56993-SI-123
56481-SI-012,56948-DE-,3,837.68,56481-SI-012 -> 5603-SI-061 -> 3320-DE-BW -> 56948-DE-
59951-SE-,51634-SE-AB,3,5.64,59951-SE- -> 3301-SE-AB -> 2119-SE-AB -> 51634-SE-AB
200005-IE-L,56612-AT-,3,633.7500000000001,200005-IE-L -> 1299-SE- -> 1764-AT- -> 56612-AT-
62044-ES-MD,20258-IT-45,3,392.95,62044-ES-MD -> 1299-SE- -> 702-FR-IDF -> 20258-IT-45
49974-DK-,42547-PL-10,3,666.0400000000001,49974-DK- -> 3292-DK-82 -> 1299-SE- -> 42547-PL-10
2280-FR-,24777-AT-9,3,239.98,2280-FR- -> 1299-SE- -> 1764-AT- -> 24777-AT-9
9145-DE-NI,8723-FR-OCC,3,255.8,9145-DE-NI -> 1299-SE- -> 5511-FR- -> 8723-FR-OCC
21412-LT-VL,200086-DE-BE,3,427.96,21412-LT-VL -> 1299-SE- -> 5405-AT-9 -> 200086-DE-BE
209991-DE-,35028-DK-,3,449.09,209991-DE- -> 3320-DE-BW -> 1299-SE- -> 35028-DK-
35052-AT-,35724-DE-BY,3,740.1700000000001,35052-AT- -> 553-DE-BW -> 3320-DE-BW -> 35724-DE-BY
197953-IE-,204896-SE-,3,440.37000000000006,197953-IE- -> 5400-FR-IDF -> 1257-SE-AB -> 204896-SE-
250-DE-,22216-DE-,3,653.72,250-DE- -> 3320-DE-BW -> 702-FR-IDF -> 22216-DE-
1128-NL-ZH,197660-DK-,3,281.38,1128-NL-ZH -> 1103-NL- -> 3292-DK-82 -> 197660-DK-
60350-FR-,48690-PL-14,3,1246.72,60350-FR- -> 1299-SE- -> 5617-PL-02 -> 48690-PL-14
8380-PL-24,33848-DE-BW,3,1455.92,8380-PL-24 -> 5617-PL-02 -> 5511-FR- -> 33848-DE-BW
200291-DE-BW,202021-SE-,3,235.32,200291-DE-BW -> 702-FR-IDF -> 1299-SE- -> 202021-SE-
15704-ES-CT,203836-DE-BB,3,536.29,15704-ES-CT -> 1299-SE- -> 3320-DE-BW -> 203836-DE-BB
38955-AT-,6855-SK-ZI,3,437.42,38955-AT- -> 1764-AT- -> 1299-SE- -> 6855-SK-ZI
34224-BG-22,9031-BE-BRU,3,394.31000000000006,34224-BG-22 -> 5511-FR- -> 1299-SE- -> 9031-BE-BRU
16104-SI-,213238-DE-NW,3,837.68,16104-SI- -> 5603-SI-061 -> 3320-DE-BW -> 213238-DE-NW
31599-PL-,20845-HU-PE,3,1403.0000000000002,31599-PL- -> 5617-PL-02 -> 1299-SE- -> 20845-HU-PE
200423-DE-,44222-PT-16,3,713.26,200423-DE- -> 3320-DE-BW -> 2860-PT-11 -> 44222-PT-16
198190-PL-,21080-DE-,3,1435.44,198190-PL- -> 5617-PL-02 -> 1299-SE- -> 21080-DE-
206889-SE-AB,205627-DE-,3,214.84,206889-SE-AB -> 2119-SE-AB -> 1299-SE- -> 205627-DE-
250-DE-,20836-IT-25,3,678.6200000000001,250-DE- -> 3320-DE-BW -> 1299-SE- -> 20836-IT-25
57809-FR-IDF,32306-DK-,3,76.22,57809-FR-IDF -> 1299-SE- -> 3292-DK-82 -> 32306-DK-
59780-DE-MV,51224-FR-,3,342.25000000000006,59780-DE-MV -> 5405-AT-9 -> 1299-SE- -> 51224-FR-
15735-MT-18,209824-DE-,3,687.77,15735-MT-18 -> 1299-SE- -> 3320-DE-BW -> 209824-DE-
8990-HU-GS,21344-PL-14,3,1403.0,8990-HU-GS -> 1299-SE- -> 5617-PL-02 -> 21344-PL-14
21272-FR-NAQ,199733-SK-,3,264.52,21272-FR-NAQ -> 702-FR-IDF -> 1299-SE- -> 199733-SK-
12731-DE-,3215-FR-ARA,3,255.8,12731-DE- -> 1299-SE- -> 5511-FR- -> 3215-FR-ARA
60781-NL-NH,60427-FR-OCC,3,179.89999999999998,60781-NL-NH -> 5511-FR- -> 3215-FR- -> 60427-FR-OCC
47869-NL-NH,31599-PL-,3,1339.06,47869-NL-NH -> 1299-SE- -> 5617-PL-02 -> 31599-PL-
3221-EE-79,202054-ES-MC,3,264.2,3221-EE-79 -> 1299-SE- -> 5505-ES-VC -> 202054-ES-MC
205132-BG-,44407-FR-HDF,3,403.39,205132-BG- -> 3223-NL-NH -> 1299-SE- -> 44407-FR-HDF
47708-SE-AB,200491-DE-MV,3,424.04,47708-SE-AB -> 1257-SE-AB -> 3320-DE-BW -> 200491-DE-MV
16142-SK-,5617-PL-02,3,1051.7800000000002,16142-SK- -> 5578-SK- -> 1299-SE- -> 5617-PL-02
